payment_id,amount,method,payment_status,transaction_date,reservation_id
1,45.00,card,paid,2025-02-10 09:00:00,1
2,85.00,card,paid,2025-02-12 09:30:00,2
3,28.00,cash,paid,2025-02-15 07:30:00,3
4,65.00,card,paid,2025-02-20 08:30:00,4
5,150.00,paypal,paid,2025-03-01 10:30:00,5
6,55.00,cash,paid,2025-03-05 18:30:00,6
7,60.00,card,paid,2025-03-10 09:30:00,7
8,90.00,card,paid,2025-03-15 07:30:00,8
9,30.00,cash,paid,2025-03-20 08:30:00,9
10,42.00,paypal,paid,2025-03-25 10:30:00,10
11,75.00,card,paid,2025-04-01 09:00:00,11
12,250.00,card,paid,2025-04-05 08:30:00,12
13,100.00,paypal,paid,2025-04-10 09:30:00,13
14,60.00,cash,paid,2025-04-15 10:00:00,14
15,38.00,card,paid,2025-04-20 07:30:00,15
16,45.00,card,paid,2025-05-01 08:30:00,16
17,85.00,paypal,paid,2025-05-05 09:30:00,17
18,28.00,cash,paid,2025-05-10 07:00:00,18
19,30.00,card,paid,2025-05-15 08:30:00,19
20,90.00,card,paid,2025-05-20 10:30:00,20
21,130.00,paypal,paid,2025-06-01 09:00:00,21
22,160.00,card,paid,2025-06-05 08:00:00,22
23,45.00,cash,paid,2025-06-10 06:30:00,23
24,90.00,card,paid,2025-06-15 08:30:00,24
25,45.00,paypal,paid,2025-06-20 07:30:00,25
26,65.00,card,pending,2025-07-01 09:30:00,26
27,150.00,paypal,pending,2025-07-05 08:30:00,27
28,55.00,cash,pending,2025-07-10 19:00:00,28
29,45.00,card,pending,2025-07-15 09:30:00,29
30,60.00,card,failed,2025-07-20 08:30:00,30
