professional_id,bio,experience_years,is_verified,user_id
1,Licensed master plumber with 12 years in residential and commercial plumbing,12,1,11
2,Certified electrician specializing in home wiring and panel upgrades,8,1,12
3,Professional cleaner running a team of 5 for homes and offices in Prishtina,6,1,13
4,Interior and exterior painter with renovation experience across Kosovo,10,1,14
5,HVAC technician certified for split and central AC systems,5,1,15
6,Emergency locksmith available 24/7 in the Prishtina area,7,1,16
7,Appliance repair specialist for all major brands,9,1,17
8,Moving company owner with a fleet of 3 trucks in Kosovo,11,1,18
9,Junior plumber specializing in drain cleaning and maintenance,3,1,19
10,Electrician focused on smart home installations and lighting,4,1,20
11,Deep cleaning specialist with hospital-grade sanitization equipment,8,1,21
12,Renovation contractor experienced in bathroom and kitchen remodeling,14,1,22
13,HVAC engineer with experience in large commercial heating systems,6,1,23
14,Appliance technician specialized in washing machines and refrigerators,5,1,24
15,Experienced mover and furniture assembly professional,7,1,25
